time,rcp2013,rcp45,rcp45_nointer,rcp45_nolife,rcp85,rcp85_nointer,rcp85_nolife,res_2013,res_rcp45,res_rcp45_nointer,res_rcp45_nolife,res_rcp85,res_rcp85_nointer,res_rcp85_nolife,,,,res_2013,res_rcp45,res_rcp45_nointer,res_rcp45_nolife,res_rcp85,res_rcp85_nointer,res_rcp85_nolife
0.1,0.518901796,0.509413475,0.507771144,0.512106987,0.506548256,0.506602344,0.508278605,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,in year,97.41657099,96.14548889,98.72851495,97.88199992,98.59933725,98.77285592,98.21932296
0.2,0.521936658,0.516040382,0.514846356,0.518323738,0.512228135,0.512435016,0.512649742,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,in month,1168.998852,1153.745867,1184.742179,1174.583999,1183.192047,1185.274271,1178.631876
0.3,0.532927715,0.523668939,0.523033755,0.525271746,0.518826684,0.519207112,0.517599211,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
0.4,0.545779458,0.53225352,0.532308276,0.532905886,0.526321469,0.526897828,0.523075214,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
0.5,0.560248692,0.541789623,0.542678025,0.541224947,0.534722243,0.535517849,0.529076756,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
0.6,0.576242467,0.552265274,0.554133586,0.55022987,0.544027183,0.545065394,0.535611738,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
0.7,0.593687043,0.563650577,0.566640214,0.559915795,0.55421521,0.555518687,0.542687255,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
0.8,0.612497075,0.575895308,0.58013737,0.570268592,0.565244937,0.566835034,0.550305689,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
0.9,0.632566258,0.588930327,0.594542078,0.581263406,0.577056979,0.578953263,0.558462954,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
1,0.653766034,0.60267096,0.609754202,0.592864445,0.589577942,0.591797863,0.567147835,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
1.1,0.675947921,0.617021199,0.625662297,0.605025624,0.602724975,0.605283657,0.576342002,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
1.2,0.698947516,0.631877977,0.642149136,0.617691791,0.616410085,0.61932024,0.586020489,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
1.3,0.722589179,0.647135071,0.659096401,0.630800314,0.630543813,0.633815744,0.596152448,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
1.4,0.746690857,0.6626864,0.676388334,0.644282845,0.64503809,0.648679751,0.606702084,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
1.5,0.771068762,0.678428657,0.693914365,0.658067118,0.659808272,0.663825375,0.617629656,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
1.6,0.795541725,0.694263292,0.711570832,0.672078686,0.674774464,0.679170608,0.628892473,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
1.7,0.819935099,0.710097915,0.72926197,0.686242536,0.689862282,0.694639081,0.640445853,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
1.8,0.844084124,0.725847222,0.746900336,0.700484544,0.705003179,0.7101604,0.652243997,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
1.9,0.867836654,0.741433509,0.764406833,0.71473276,0.72013448,0.725670165,0.66424078,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
2,0.891055187,0.75678688,0.781710452,0.728918512,0.735199221,0.741109801,0.676390444,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
2.1,0.913618161,0.771845218,0.798747847,0.742977341,0.750145866,0.756426269,0.6886482,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
