species,w_inf,w_mat,beta,sigma,R_max,k_vb
Alosa pseudoharengus,978.0460961,140.6872004,68439,3.2,500000,0.285234847
Alosa sapidissima,447.3115007,82.06756125,2548888.996,3.2,500000,0.319774927
Ammodytes dubius,32.67124297,9.563330005,398849,1.9,2.50E+11,0.353044857
Anchoa mitchilli,15.24353208,4.226488828,68439,3.2,30000000,0.882842805
Clupea harengus,213.2857,61.17875866,280540,3.2,240000000,0.457330807
Gadus morhua,17264.1015,4972.145345,85,2.1,5130000,0.216338735
Glyptocephalus cynoglossus,391.9952852,383.2062076,191,1.9,12000000,0.109007155
Limanda ferruginea,88.8900244,24.86654402,191,1.9,5800000,0.515116165
Lophius americanus,35325.69961,10988.74121,28,1.7,11700000,0.101063671
Melanogrammus aeglefinus,1609.537161,452.4133035,558,2.1,3200000,0.267611247
Merluccius bilinearis,1342.991437,377.4918701,19,2.3,200000000,0.285202797
Myoxocephalus octodecemspinosus,770.2470326,227.4866356,77,2,680000,0.538866346
Paralichthys dentatus,6921.475703,1894.291867,593,2.9,42000000,0.205328991
Pseudopleuronectes americanus,1863.685042,550.1798484,191,1.9,3300000,0.428180204
Rostroraja eglanteria,7604.135428,6584.000705,278,1.6,27000000,0.09893715
Squalus acanthias,6162.794208,1129.720071,185,1.9,1500,0.121926977
Urophycis chuss,5621.692384,1346.156645,193,2.2,4000000,0.150334654
Urophycis tenuis,8078.614573,2078.786466,32,3.4,4000000,0.155892185
Zoarces americanus,6668.234472,1970.950254,191,1.9,NA,0.13153895
